fecha,ipc_variacion_mensual,ipc_acumulado,salario_total,privado_reg,privado_no_reg,publico,total_registrado,salario_real_total,salario_real_priv_reg,salario_real_publico,ipc_variacion_anual
2019-11-01,4.3,273.632548,233.32,242.85,212.21,231.39,238.57,85.26763417047889,88.75040698740268,84.56230872067164,52.34255748175014
2019-12-01,3.7,283.756953,239.44,246.54,223.54,238.13,243.4,84.3820732738133,86.88421460460212,83.92041057756917,53.9758601829045
2020-01-01,2.3,290.283362,253.78,267.6,232.76,244.59,259.01,87.42492103284927,92.1857863834442,84.2590489219978,53.07804193430206
2020-02-01,2.0,296.08903,263.55,279.97,240.22,251.57,269.36,89.01038988171904,94.55601918112266,84.96430955243429,50.423509432970334
2020-03-01,3.3,305.859968,271.58,286.4,248.53,262.08,277.31,88.79226718548536,93.63762177598868,85.68627065311144,48.41211586836811
2020-04-01,1.5,310.447867,272.03,285.74,250.23,263.54,277.45,87.62501821280027,92.04121863075969,84.89025952946876,45.685007328294816
2020-05-01,1.5,315.104585,271.84,285.06,248.98,264.92,277.54,86.26976976548913,90.46520221214807,84.07367350748007,43.42413396331069
2020-06-01,2.2,322.036886,273.47,285.44,252.74,267.19,278.62,84.91884373767049,88.63580925322945,82.96875656660026,42.72586668798268
2020-07-01,1.9,328.155587,278.37,289.19,263.49,270.14,282.07,84.82866391057361,88.12588036174438,82.32070721989565,42.30690602117395
2020-08-01,2.7,337.015788,283.92,295.13,273.32,272.2,286.56,84.24531137989298,87.57156504489933,80.76772949283907,40.52807015733298
2020-09-01,2.8,346.45223,291.02,301.54,279.69,280.93,293.84,84.00003659956236,87.03653025988606,81.08765817440403,36.414405878057906
2020-10-01,3.8,359.617415,302.94,317.66,285.74,289.72,307.22,84.23952438454629,88.33276330624868,80.56339540731085,37.07468848360074
2020-11-01,3.2,371.125172,312.92,326.04,306.96,294.87,314.4,84.31656584048683,87.85176123811941,79.45297766005481,35.62903050553767
2020-12-01,4.0,385.970179,318.42,331.26,310.78,301.97,320.32,82.49860153056022,85.8252834087475,78.23661423334988,36.02139962364199
2021-01-01,4.0,401.408986,328.84,344.61,318.42,309.32,331.43,81.92143461382301,85.85009604144737,77.05856390569194,38.281775171117104
2021-02-01,3.6,415.859709,343.06,362.33,327.43,321.14,346.94,82.49416631992112,87.127940543045,77.22315796647662,40.45090052812832
2021-03-01,4.8,435.820975,360.28,376.68,341.36,345.37,364.98,82.66697122597185,86.42998423836761,79.24584171287304,42.490361798507735
2021-04-01,4.1,453.689635,371.84,394.54,346.34,350.74,378.18,81.95911286357688,86.9625333186199,77.30835640536509,46.14036146687395
2021-05-01,3.3,468.661393,382.42,408.38,349.47,360.83,390.62,81.59835772945779,87.13753812445994,76.99162025919212,48.73201321396196
2021-06-01,3.2,483.658558,391.16,415.55,353.54,375.32,400.52,80.87523595519632,85.91804965022453,77.60019827872041,50.187316741101526
2021-07-01,3.0,498.168315,410.37,437.0,362.03,397.93,422.41,82.37577293529799,87.72135578313525,79.87862495831354,51.80857335212763
2021-08-01,2.5,510.622523,423.41,451.64,371.24,410.82,436.4,82.92035328022537,88.44889907059583,80.45473544456244,51.512938319673026
2021-09-01,3.5,528.494311,440.34,467.91,374.34,438.07,456.77,83.31972375763188,88.53643081126752,82.89020163170686,52.54464114720812
